id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
1125097,Cottage in Angaston · ★4.88 · 1 bedroom · 1 bed · 1 bath,6172214,Heather,,Angaston,-34.49563,139.0293,Entire home/apt,254,2,190,2023-06-13,1.59,3,332,32,,Barossa Valley
1133195,Cottage in Angaston · ★4.84 · 1 bedroom · 1 bed · 1 bath,6172214,Heather,,Angaston,-34.49538,139.03086,Entire home/apt,236,2,69,2023-06-12,0.65,3,355,14,,Barossa Valley
1133236,Rental unit in Angaston · ★4.89 · 1 bedroom · 1 bed · 1 private bath,6172214,Heather,,Penrice,-34.49372,139.03199,Private room,260,1,63,2023-06-11,0.55,3,332,17,,Barossa Valley
1710462,Cabin in Shea-Oak Log · ★4.77 · 1 bedroom · 1 bed · 1 bath,6645956,Kylie And Tom,,Shea-Oak Log,-34.51049,138.81731,Entire home/apt,102,2,534,2023-06-11,4.55,1,318,44,,Barossa Valley
1787389,Rental unit in Tanunda · ★4.39 · 2 bedrooms · 2 beds · 2 baths,9380091,Kym,,Tanunda,-34.52737,138.953,Entire home/apt,286,2,18,2023-01-08,0.20,14,147,1,,Barossa Valley
2028951,Vacation home in Lyndoch · ★4.75 · 2 bedrooms · 2 beds · 1 bath,10421165,Mark And Fiona,,Lyndoch,-34.60392,138.88311,Entire home/apt,189,2,12,2023-04-29,0.81,2,306,8,,Barossa Valley
2327616,Guesthouse in Gawler River · ★4.74 · 1 bedroom · 2 beds · 1 bath,6713275,Bill,,Gawler River,-34.60549,138.64723,Entire home/apt,95,1,163,2023-06-17,1.60,1,356,49,,Barossa Valley
2567051,Bed and breakfast in Cockatoo Valley · ★4.84 · 2 bedrooms · 2 beds · 2 baths,10726293,Rebecca,,Cockatoo Valley,-34.63808,138.84598,Private room,210,2,31,2022-08-22,0.30,1,290,1,,Barossa Valley
5289072,Cabin in Mount McKenzie · ★4.95 · 3 bedrooms · 3 beds · 2 baths,27321203,Phillip,,Flaxman Valley,-34.56405,139.07988,Entire home/apt,220,3,123,2022-10-29,1.32,1,133,8,,Barossa Valley
5426792,Guesthouse in Nuriootpa · ★4.78 · 1 bedroom · 1 bed · 1 bath,28149709,Andrew & Belinda,,Nuriootpa,-34.46333,139.00032,Entire home/apt,67,1,158,2023-06-26,1.71,1,122,22,,Barossa Valley
5537173,Villa in Lyndoch · ★4.94 · 1 bedroom · 1 bed · 1 bath,28712482,Nelly,,Lyndoch,-34.58503,138.86457,Entire home/apt,425,2,35,2023-06-03,0.60,3,305,4,,Barossa Valley
6157653,Cottage in Penrice · ★4.93 · 1 bedroom · 1 bed · 1 bath,31945359,Julie,,Penrice,-34.4872,139.04529,Entire home/apt,290,1,28,2022-04-19,0.29,1,113,0,,Barossa Valley
