id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
10803,Rental unit in Brunswick East · ★4.49 · 1 bedroom · 1 bed · 1 shared bath,38901,Lindsay,,Moreland,-37.76606,144.97951,Private room,44,7,171,2023-05-29,1.35,1,213,25,,Melbourne
12936,Rental unit in St Kilda · ★4.68 · 1 bedroom · 1 bed · 1 bath,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.27,10,0,0,,Melbourne
41836,Home in Reservoir · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2018-08-22,1.04,2,0,0,,Melbourne
43429,Rental unit in Oakleigh East · ★4.87 · 1 bedroom · 1 bed · 1 bath,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,118,2,245,2023-05-26,1.61,3,307,20,,Melbourne
38271,Rental unit in Berwick · ★4.86 · 3 bedrooms · 3 beds · 1 bath,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,117,1,220,2023-04-02,1.44,1,332,35,,Melbourne
51592,Loft in Melbourne · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,305,2,408,2023-05-21,2.73,1,171,64,,Melbourne
44699,Condo in South Melbourne · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,189245,Christine,,Port Phillip,-37.83155713210426,144.97064430769746,Private room,88,1,53,2023-06-01,0.34,1,257,8,,Melbourne
66754,Rental unit in Richmond · ★4.61 · 1 bedroom · 1 bed · 1 bath,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.47,10,0,0,,Melbourne
69421,Rental unit in Clifton Hill · 1 bedroom · 2 beds · 1 bath,347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,83,0,,Melbourne
74324,Townhouse in Fitzroy · ★4.81 · 2 bedrooms · 2 beds · 1 bath,390761,Matt,,Yarra,-37.80415,144.97803,Entire home/apt,299,60,70,2022-03-17,0.71,1,337,0,,Melbourne
67211,Rental unit in Kew · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,326880,Kate,,Boroondara,-37.80347,145.03583,Private room,50,2,217,2023-05-27,1.45,1,298,27,,Melbourne
78143,Townhouse in Prahran · ★4.78 · 2 bedrooms · 2 beds · 1 private bath,419767,Julie,,Stonnington,-37.85162,144.98943,Private room,96,2,213,2023-05-25,1.46,1,349,47,,Melbourne
690762,Home in Dandenong · 1 bedroom · 3 beds · 3 baths,3529788,Thomas,,Greater Dandenong,-37.97413,145.21955,Private room,80,1,1,2014-03-01,0.01,1,0,0,,Melbourne
80986,Rental unit in Richmond · ★4.43 · 1 bedroom · 1 bed · 1 bath,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-03-24,0.56,10,0,0,,Melbourne
86369,Rental unit in Saint Kilda East · ★5.0 · 1 bedroom · 1 bed · 1 bath,246509,Fiona,,Glen Eira,-37.87142,145.00785,Entire home/apt,235,21,14,2022-12-17,0.21,1,172,2,,Melbourne
692694,Rental unit in Windsor · ★4.48 · 1 bedroom · 1 bed · 1 bath,3542892,Saskia,,Stonnington,-37.8568,145.00065,Entire home/apt,190,4,84,2023-04-03,0.65,1,0,9,,Melbourne
712261,Rental unit in Balaclava · ★4.80 · 1 bedroom · 1 bed · 1 bath,738640,Chelle,,Port Phillip,-37.86928,144.99792,Entire home/apt,95,5,22,2020-12-21,0.17,1,0,0,,Melbourne
103952,Rental unit in South Melbourne · ★4.91 · 1 bedroom · 1 bed · 1 bath,541584,Felicity,,Port Phillip,-37.83095169067383,144.96913146972656,Entire home/apt,200,14,11,2022-10-01,0.08,1,365,2,,Melbourne
739896,Rental unit in Brunswick East · ★4.50 · 2 bedrooms · 2 beds · 2 baths,3871035,Phil,,Moreland,-37.77056,144.97274,Entire home/apt,300,2,3,2014-01-03,0.02,1,0,0,,Melbourne
108032,Rental unit in Melbourne · ★4.90 · 1 bedroom · 1 bed · 1 bath,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,175,2,294,2023-04-03,2.01,1,245,22,,Melbourne
754134,Rental unit in Melbourne · ★4.63 · 1 bedroom · 3 beds · 1 bath,3570625,Kim,,Melbourne,-37.8167,144.96608,Entire home/apt,167,4,106,2023-04-11,0.84,2,89,13,,Melbourne
120487,Guesthouse in Parkdale · ★4.84 · 1 bedroom · 2 beds · 1 bath,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,125,4,95,2023-05-01,0.67,2,201,8,,Melbourne
762695,Rental unit in Richmond · ★4.65 · 1 bedroom · 1 bed · 1 bath,50121,The A2C Team,,Yarra,-37.81552,145.00116,Entire home/apt,99,3,78,2020-03-07,0.70,10,0,0,,Melbourne
133617,Condo in Port Melbourne · ★4.81 · 1 bedroom · 2 beds · 1 private bath,646383,Hannah,,Port Phillip,-37.84298,144.94148,Private room,113,3,32,2023-04-04,0.23,1,89,14,,Melbourne
157427,Guest suite in Belgrave · ★4.91 · 1 bedroom · 1 bed · 1 bath,717024,Margaret,,Yarra Ranges,-37.90605,145.35069,Entire home/apt,160,1,57,2023-05-19,0.40,2,283,8,,Melbourne
768096,Rental unit in South Yarra · ★4.80 · 2 bedrooms · 3 beds · 2 baths,3506639,David,,Melbourne,-37.83368,144.9843,Entire home/apt,135,20,86,2019-12-14,0.67,2,0,0,,Melbourne
161033,Farm stay in Chum Creek · ★4.79 · 1 bedroom · 1 bed · 1 bath,770883,Karen,,Yarra Ranges,-37.63282,145.49766,Entire home/apt,110,2,281,2023-06-01,1.96,1,162,23,,Melbourne
780196,Home in Altona · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,117431,Lorraine,,Hobsons Bay,-37.87135,144.81258,Private room,48,1,140,2022-03-17,1.66,2,365,0,,Melbourne
163077,Rental unit in Elwood · ★4.68 · 1 bedroom · 1 bed · 1 bath,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,89,3,59,2020-03-29,0.42,10,0,0,,Melbourne
173426,Home in Melbourne · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,804527,Tania,,Darebin,-37.76434,144.98624,Private room,71,1,22,2023-01-16,0.15,1,0,4,,Melbourne
780441,Rental unit in Carlton · ★4.62 · 1 bedroom · 1 bed · 1 bath,3377890,Bernadette,,Melbourne,-37.8068,144.96943,Entire home/apt,90,28,71,2023-05-01,0.56,2,305,4,,Melbourne
189293,Home in Reservoir · 1 bedroom · 1 bed · 1 shared bath,182833,Diana,,Darebin,-37.69879,145.00193,Private room,35,2,1,2017-05-07,0.01,2,0,0,,Melbourne
210568,Home in Caulfield North · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,1038237,Ian,,Glen Eira,-37.86717,145.02877,Private room,67,3,25,2023-05-11,0.18,2,0,3,,Melbourne
784043,Home in Viewbank · 4 bedrooms · 4 beds · 2 baths,4133993,Kim,,Banyule,-37.73071,145.08995,Entire home/apt,500,5,1,2018-05-05,0.02,4,0,0,,Melbourne
214565,Home in Montmorency · 1 bedroom · 1 bed · 1 shared bath,1107678,Helen,,Banyule,-37.7137,145.1238,Private room,40,1,0,,,1,0,0,,Melbourne
785116,Home in Aspendale · 1 bedroom · 1 bed · 1 bath,3579354,Kelly,,Kingston,-38.02886,145.10602,Private room,150,1,0,,,1,365,0,,Melbourne
229430,Home in Melbourne  · ★4.86 · 1 bedroom · 1 bed · 1 bath,1198300,Daniela,,Boroondara,-37.8317,145.04922,Private room,49,2,23,2015-04-25,0.16,1,0,0,,Melbourne
792570,Rental unit in Collingwood · ★4.50 · 2 bedrooms · 2 beds · 1 bath,690940,Gerard,,Yarra,-37.80886,144.98457,Entire home/apt,150,3,6,2017-01-19,0.05,1,0,0,,Melbourne
230790,Bed and breakfast in Belgrave · ★4.81 · 5 bedrooms · 11 beds · 6 baths,1197236,Clarelee,,Yarra Ranges,-37.90514,145.35261,Entire home/apt,564,2,97,2023-04-25,0.91,2,337,14,,Melbourne
806245,Townhouse in Seddon · ★4.83 · 2 bedrooms · 4 beds · 1 bath,2792025,Jo,,Maribyrnong,-37.80257,144.89593,Entire home/apt,165,2,331,2023-05-21,2.59,1,336,40,,Melbourne
817054,Rental unit in South Yarra · ★4.37 · 2 bedrooms · 3 beds · 1 bath,3721646,Alex,,Stonnington,-37.83649,144.99393,Entire home/apt,133,21,34,2017-10-28,0.27,42,157,0,,Melbourne
232812,Condo in Parkville · ★4.17 · 2 bedrooms · 2 beds · 2 baths,950667,Rosemary,,Melbourne,-37.78398,144.9574,Entire home/apt,190,2,8,2018-02-28,0.06,1,0,0,,Melbourne
835730,Bungalow in Brunswick · ★4.78 · 2 bedrooms · 2 beds · 1 bath,971810,Sarah & Mike,,Moreland,-37.75581,144.96868,Entire home/apt,130,4,248,2023-05-22,1.95,1,76,30,,Melbourne
235701,Rental unit in Melbourne · ★4.86 · 1 bedroom · 1 bed · 1 bath,1184705,Alastair,,Port Phillip,-37.843502044677734,144.97598266601562,Entire home/apt,89,3,46,2023-06-04,0.32,1,47,25,,Melbourne
844381,Rental unit in St Kilda · ★4.71 · 1 bedroom · 1 bed · 1 bath,4408022,Kirk & Sons,,Port Phillip,-37.86645,144.982,Entire home/apt,100,5,24,2023-04-12,0.19,1,15,13,,Melbourne
240410,Rental unit in North Melbourne · ★4.83 · 1 bedroom · 1 bed · 1 bath,1260586,Neil,,Melbourne,-37.80455,144.95113,Entire home/apt,150,2,125,2023-06-01,0.95,1,321,31,,Melbourne
847063,Home in Alphington · ★4.70 · 3 bedrooms · 4 beds · 2 baths,2591026,Melissa,,Yarra,-37.783672,145.024658,Entire home/apt,493,28,10,2017-07-10,0.08,1,358,0,,Melbourne
244952,Rental unit in Fitzroy · ★4.70 · 1 bedroom · 1 bed · 1 bath,287730,Rebecca,,Yarra,-37.80428,144.97916,Entire home/apt,112,5,325,2023-05-23,2.30,1,237,30,,Melbourne
853643,Home in Burnley · ★4.76 · 2 bedrooms · 2 beds · 1 bath,4257468,Carolyn,,Yarra,-37.82782,145.00536,Entire home/apt,286,10,53,2021-02-19,0.47,1,0,0,,Melbourne
865195,Guesthouse in Parkdale · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,69,4,79,2021-01-06,0.63,2,126,0,,Melbourne
