id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
228073,Home in Rosebud · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,1189726,Sarah,,Rosebud - McCrae,-38.36228,144.9053,Entire home/apt,600,3,3,2012-08-02,0.02,1,363,0,,Mornington Peninsula
425004,Home in Sorrento · ★4.78 · 3 bedrooms · 4 beds · 1 bath,465717,Neil,,Point Nepean,-38.3433,144.74036,Entire home/apt,350,2,267,2023-05-28,1.99,1,327,23,,Mornington Peninsula
432257,Guest suite in Blairgowrie · ★4.86 · 1 bedroom · 4 beds · 1 bath,2149685,Di,,Point Nepean,-38.37291,144.77638,Entire home/apt,194,1,183,2023-06-03,1.57,2,304,14,,Mornington Peninsula
441470,Home in Blairgowrie · ★4.68 · 3 bedrooms · 4 beds · 2 baths,2158245,Chris,,Point Nepean,-38.35977,144.76184,Entire home/apt,600,7,41,2020-01-23,0.31,2,333,0,,Mornington Peninsula
646366,Home in St Andrews Beach · ★4.81 · 2 bedrooms · 2 beds · 1 bath,3239185,Gail And Brendan,,Point Nepean,-38.42002,144.8325,Entire home/apt,221,2,541,2023-06-09,4.32,1,175,87,,Mornington Peninsula
690991,Cottage in Shoreham · ★4.88 · 3 bedrooms · 4 beds · 1 bath,3521833,Adair,,Flinders,-38.42581,145.04652,Entire home/apt,407,2,40,2023-04-10,0.32,1,345,5,,Mornington Peninsula
759417,Tent in Rye · ★4.75 · 2 bedrooms · 5 beds · 1.5 baths,677155,Sealey,,Point Nepean,-38.38419,144.8257,Private room,200,2,12,2023-04-09,0.45,1,89,5,,Mornington Peninsula
772027,Rental unit in Sorrento · ★4.92 · 3 bedrooms · 6 beds · 2 baths,4073525,Mary-Anne,,Point Nepean,-38.33777,144.74232,Entire home/apt,538,2,25,2023-03-13,0.27,1,330,5,,Mornington Peninsula
777275,Farm stay in Shoreham · ★5.0 · 1 bedroom · 1 bed · 1 bath,3189605,Penny,,Flinders,-38.4103,145.00353,Entire home/apt,384,1,23,2023-05-28,0.22,2,219,13,,Mornington Peninsula
804475,Guesthouse in Mount Martha · ★4.93 · 1 bedroom · 1 bed · 1 bath,4234571,Vanda,,Mount Martha,-38.2799,145.01115,Entire home/apt,225,1,146,2023-05-28,1.15,1,89,18,,Mornington Peninsula
